Date,AveragePrice,Total Volume,year,region
2017-04-30,1.13,124926.39,2017,Albany
2017-04-23,1.34,89327.1,2017,Albany
2017-04-16,1.62,90487.05,2017,Albany
2017-04-09,1.54,105436.11,2017,Albany
2017-04-02,1.62,92621.11,2017,Albany
2017-04-30,1.17,595539.82,2017,Atlanta
2017-04-23,1.21,530030.64,2017,Atlanta
2017-04-16,1.15,543227.58,2017,Atlanta
2017-04-09,1.23,465350.2,2017,Atlanta
2017-04-02,1.26,481933.74,2017,Atlanta
2017-04-30,1.69,761924.71,2017,BaltimoreWashington
2017-04-23,1.67,749186.76,2017,BaltimoreWashington
2017-04-16,1.7,717940.19,2017,BaltimoreWashington
2017-04-09,1.64,738255.19,2017,BaltimoreWashington
2017-04-02,1.5,800801.84,2017,BaltimoreWashington
2017-04-30,1.03,109119.0,2017,Boise
2017-04-23,1.14,93656.08,2017,Boise
2017-04-16,1.15,99410.94,2017,Boise
2017-04-09,1.21,95508.38,2017,Boise
2017-04-02,1.2,94905.4,2017,Boise
2017-04-30,1.61,603284.31,2017,Boston
2017-04-23,1.63,520793.48,2017,Boston
2017-04-16,1.61,592049.78,2017,Boston
2017-04-09,1.53,629799.49,2017,Boston
2017-04-02,1.56,571902.2,2017,Boston
2017-04-30,1.54,178864.17,2017,BuffaloRochester
2017-04-23,1.55,147244.2,2017,BuffaloRochester
2017-04-16,1.54,166089.23,2017,BuffaloRochester
2017-04-09,1.56,172946.22,2017,BuffaloRochester
2017-04-02,1.54,167364.95,2017,BuffaloRochester
2017-04-30,1.25,5889669.2,2017,California
2017-04-23,1.26,5637299.78,2017,California
2017-04-16,1.34,5442086.44,2017,California
2017-04-09,1.13,6249182.98,2017,California
2017-04-02,1.22,5719811.06,2017,California
2017-04-30,1.53,235698.79,2017,Charlotte
2017-04-23,1.5,220970.07,2017,Charlotte
2017-04-16,1.56,203220.34,2017,Charlotte
2017-04-09,1.54,201298.91,2017,Charlotte
2017-04-02,1.48,231427.69,2017,Charlotte
2017-04-30,1.62,787324.19,2017,Chicago
2017-04-23,1.63,719367.5,2017,Chicago
2017-04-16,1.65,742675.28,2017,Chicago
2017-04-09,1.65,699592.47,2017,Chicago
2017-04-02,1.65,676300.83,2017,Chicago
2017-04-30,1.1,242716.93,2017,CincinnatiDayton
2017-04-23,1.13,205401.48,2017,CincinnatiDayton
2017-04-16,1.06,261398.15,2017,CincinnatiDayton
2017-04-09,1.17,215849.78,2017,CincinnatiDayton
2017-04-02,1.01,290569.6,2017,CincinnatiDayton
2017-04-30,1.18,199643.4,2017,Columbus
2017-04-23,1.26,166919.21,2017,Columbus
2017-04-16,0.99,242720.67,2017,Columbus
2017-04-09,1.07,225843.95,2017,Columbus
2017-04-02,1.23,174975.95,2017,Columbus
2017-04-30,0.9,1407490.7,2017,DallasFtWorth
